Edit | Del,((Lead: BrokerincludesSTORM) and (Lead: FilialIdGlobnot equal to417)) or (Lead: BrokerincludesCRYP) or (Lead: BrokerincludesGLOX),Marketing Automation,
Edit | Del,(Lead: FilialIdGlobequals414) and (Lead: Lead Record TypeequalsPersonAccountLead),Игорь Лоза,
Edit | Del,(Lead: FilialIdGlobequals416) and (Lead: Lead Record TypeequalsPersonAccountLead),Ильнур Вильданов,
Edit | Del,(Lead: FilialIdGlobequals417) and (Lead: Lead Record TypeequalsPersonAccountLead) and (Lead: BrokerincludesSTORM),Matias Fernandez,
Edit | Del,(Lead: FilialIdGlobequals420) and (Lead: Lead Record TypeequalsPersonAccountLead),Костянтин Підгорний,
Edit | Del,(Lead: FilialIdGlobequals429) and (Lead: Lead Record TypeequalsPersonAccountLead),Sandra Diaz,
Edit | Del,Lead: FilialIdGlobequals379,Ольга Таран,
Edit | Del,Lead: FilialIdGlobequals378,Ярослав Разиковский,
Edit | Del,(Lead: FilialIdGlobequals370) and (Lead: Lead Record TypeequalsPersonAccountLead),Адилет Темирбеков,
Edit | Del,(Lead: FilialIdGlobequals457) and (Lead: Lead Record TypeequalsPersonAccountLead),Sandra Diaz,
Edit | Del,Lead: FilialIdGlobequals410,Franco Alonso,
Edit | Del,(Lead: FilialIdGlobequals460) and (Lead: Lead Record TypeequalsPersonAccountLead),David Martinez,
Edit | Del,"(Lead: FilialIdGlobequals427,444,411,445,449,430,462,468) and (Lead: Lead Record TypeequalsPersonAccountLead) and ((Lead: BrokerTextequalsBVI) or (Lead: BrokerTextequalsMAEX))",Marcelo Regner,
Edit | Del,"(Lead: FilialIdGlobequals412,418,443,446,436,426) and (Lead: Lead Record TypeequalsPersonAccountLead) and ((Lead: BrokerTextequalsBVI) or (Lead: BrokerTextequalsMAEX))",Leidy Abello,
Edit | Del,(Lead: FilialIdGlobequals381) and (Lead: Lead Record TypeequalsLead),Nicharat Phuangsawasd,
